name,url
City of Fresno,https://www.fresno.gov/feed/
Downtown Fresno Partnership Facebook,https://www.facebook.com/DowntownFresno/
CBS47 Fresno,https://www.facebook.com/CBS47
Downtown Fresno Partnership,https://www.facebook.com/DowntownFresno
FOX 26 KMPH News,https://www.facebook.com/KMPHFOX26/
Clovis Chamber of Commerce,https://www.facebook.com/ClovisChamber
Lost Dogs of California,https://www.facebook.com/californialostdogs/
Fresno Bully Rescue,https://www.facebook.com/fresnobullyrescue
Fresno Filmworks,https://www.facebook.com/fresnofilmworks
Fresno Cycling Club,https://www.facebook.com/Fresno-Cycling-Club-114491798623154/
HandsOn Central California,https://www.facebook.com/HandsOnCentralCal/
United Way Fresno and Madera Counties,https://www.facebook.com/uwfmc/
Fresno Library,https://www.facebook.com/fresnolibrary
Sikh Institute ,http://fresnosikhs.org/events/feed/
Fresno City College,http://www.fresnocitycollege.edu/Rss.aspx?type=4&paramtime=Future
Gay Fresno,http://www.gayfresno.com/?format=feed&type=rss
CMAC Facebook,https://www.facebook.com/cmactv
KSEE24 News (NBC affiliate),https://www.facebook.com/KSEE24
Community Medical Centers,https://www.facebook.com/communitymedicalcenters
Fresno Convention and Entertainment Center,https://www.facebook.com/Fresno.Convention.and.Entertainment.Center/
Hmong Cultural Heritage Center and Museum,https://www.facebook.com/hchcm/
KVPR Valley Public Radio News,http://kvpr.org/feeds/443/rss.xml
Fresno Historical Society,https://www.facebook.com/fresnohistory/
I Bike Fresno,https://www.facebook.com/ibikefresno
Valley Children's Hospital,https://www.facebook.com/valleychildrens
KVPR Valley Public Radio - Valley Edition,http://kvpr.org/feeds/term/57/rss.xml
United Way Fresno and Madera Counties,http://uwfm.org/?feed=rss2
Save Mart Center News Flash,http://savemartcenter.com/feed/
Catholic Charities Diocese of Fresno,http://www.ccdof.org/feed/
Hmong National Development,http://hndinc.org/feed/
San Joaquin River Parkway and Conservation Trust,http://www.riverparkway.org/index.php?format=feed&type=rss
Fresno Grand Opera,http://fresnograndopera.org/feed/
Fresno Art Museum,https://www.facebook.com/FresnoArtMuseum
Fresno Chaffee Zoo,https://www.facebook.com/fresnochaffeezoo
Pathway Community Day School,https://www.facebook.com/centralunified/
Fresno Philharmonic,https://www.facebook.com/Fresno-Philharmonic-170519086380703/
Fresno State Athletics,https://www.facebook.com/fresnostateathletics
Community Media Access Collaboration (CMAC),https://www.facebook.com/cmactv
Fresno Police Department,https://www.facebook.com/FresnoPoliceDepartment
Fresno Fire Department,https://www.facebook.com/FresnoFireDepartment/
The Well Community.org,http://thewellcommunity.org/podcasts/well-life-god-stories/rss
Clovis Fire Department,https://www.facebook.com/clovisfiredepartment/
City of Fresno - Facebook Page,https://www.facebook.com/FresnoCA
90.7 KFSR,https://www.facebook.com/907-KFSR-Fresnos-Music-Alternative-76567335561/
Arte Americas,https://www.facebook.com/arteamericas
City of Fresno Water Division,https://www.facebook.com/FresnoWaterConservation/
Play Fresno,https://www.facebook.com/playfresno/
San Joaquin College of Law,https://www.facebook.com/sanjoaquincollegeoflaw
Shinzen Friendship Garden,https://www.facebook.com/shinzenfriendshipgarden/
Fresno County Sheriff's Office,https://www.fresnosheriff.org/media-relations.feed?type=atom
Valley Animal Shelter,https://www.facebook.com/ValleyAnimalCenter
HandsOn Central California,https://handsoncc.wordpress.com/feed/
City of Clovis - Police,http://www.ci.clovis.ca.us/News/rss/category/4467/police
Fresno Business Council,http://www.fresnobc.org/feed/
Tree Fresno,http://treefresno.org/?feed=rss2
Peace Fresno,https://www.peacefresno.org/?feed=rss2
