name,url
South Beach USA,http://www.southbeachmagazine.com/feed/
dolphins gab,http://www.dolphinsgab.com/feed/
SoFlaNights.com,https://www.soflanights.com/feed
Miami Diario,http://www.miamidiario.com/rss
Eater Miami,https://miami.eater.com/rss/index.xml
Adrienne Arsht Center for the Performing Arts,https://www.facebook.com/AdrienneArshtCenter
social miami,https://www.facebook.com/SocialMiami
City of Miami,https://www.facebook.com/CityOfMiamiGov/?ref=hl
Miami Science Museum,http://www.miamisci.org/blog/feed/
Mama Guru,http://mamaguru.com/feed/
keeping up with kids,https://www.facebook.com/KeepingUpWithKids/
the Real Estate Coconut,http://therealestatecoconut.com/feed/
Crime Stoppers Miami,https://www.facebook.com/crimestoppersmiami
Miami Food Trucks,http://burgerbeast.com/feed/
Miami Food Trucks,https://www.facebook.com/miamifoodtrucks/
Miami Herald,http://www.miamiherald.com/?widgetName=rssfeed&widgetContentId=712015&getXmlFeed=true
Fox 7 News,http://wsvn.com/news/local/feed/
NBC Miami,http://www.nbcmiami.com/news/top-stories/?rss=y
NBC Miami,http://www.nbcmiami.com/news/local/?rss=y
Blogging Black Miami,http://feeds.feedburner.com/bloggingblackmiami/NMmH
Miami-Dade Police Department,https://www.facebook.com/miamidadepd/
Miami.com,http://www.miami.com/feed/
Food for Thought (A Miami Food Blog),http://www.foodforthoughtmiami.com/feeds/posts/default?alt=rss
Body4Yoga,https://www.facebook.com/Body4Yoga-373951676087174
Burger Beast,http://burgerbeast.com/feed/
South Florida Business Journal,http://feeds.bizjournals.com/bizj_southflorida
Hialeah Park - Facebook,https://www.facebook.com/HialeahPark/?fref=ts
Miami-Dade Crime Stoppers,https://www.facebook.com/crimestoppersmiami
the luxury spot,http://www.theluxuryspot.com/feed/
"Topix: Hialeah, FL",http://www.topix.com/rss/city/hialeah-fl
Florida's State Emergency Response Team,https://www.facebook.com/FloridaSERT/
therattrick,http://therattrick.com/feed/
United Way of Miami-Dade,https://www.facebook.com/UnitedWayMiami/timeline
icuban,https://www.facebook.com/3miamiguys
The Chowfather,http://thechowfather.blogspot.com/feeds/posts/default?alt=rss
All Canes Official Blog,http://blog.allcanes.com/feed
Event Guide Miami,http://rss.metrodata.com/eventguide-miami-today.xml
Ready South Florida,http://readysouthflorida.org/feed/
Miami on the Cheap,http://feeds2.feedburner.com/miamiflonthecheap/TZuA
Miami Today,http://www.miamitodaynews.com/feed/
The Blog That Ate Miami.com,http://theblogthatatemiami.com/feed/
fast food hr,http://www.fastfoodhr.com/feed
Miami Office Notes,http://miamiofficenotes.com/feed/
City of Hialeah - Municipal Government,https://www.facebook.com/cityofhialeah/
Miami-Dade Animal Services,https://www.facebook.com/mdasadopt/?fref=pb&hc_location=profile_browser
Hialeah Public Libraries,https://www.facebook.com/Hialeahpubliclibraries
Soul of Miami,http://feeds.feedburner.com/SoulOfMiami
miamidish.net,http://miamidish.net/feed/
CBS 4,http://cbs4.com/local/resources_rss.xml 
Miami Beach 411.com,https://www.facebook.com/miamibeach411
Miami New Times,http://www.miaminewtimes.com/music.rss
florida rambler,http://www.floridarambler.com/feed/
Miami New Times,http://www.miaminewtimes.com/news.rss
City of Coral Gables,https://www.facebook.com/cityofcoralgables
New Times: Broward/Palm Beach,http://www.browardpalmbeach.com/news.rss
Coconut Grove Grapevine,http://coconutgrovegrapevine.blogspot.com/feeds/posts/default?alt=rss
The Miami Hurricane,http://www.themiamihurricane.com/feed/
The Fashion Poet,http://thefashionpoet.com/rss
Miami Dade College - Hialeah Campus,https://www.facebook.com/MDCHialeah/
champagne living,http://champagneliving.net/feed/
Sun Sentinel,http://www.sun-sentinel.com/rss2.0.xml
South Florida Red Cross,https://www.facebook.com/SFLRedCross
Miami-Dade Office of Emergency Management,https://www.facebook.com/MiamiDadeCountyEM/timeline
smarty pants mama,http://smartypantsmama.com/feed/
Brickell Key and Brickell Avenue Condos,http://dienerproperties.blogspot.com/feeds/posts/default?alt=rss
Local10.com,https://www.local10.com/feeds/rssFeed/feedServlet?obfType=GMG_RSS_APP&siteId=800006&categoryId=80041&nbRows=10
