name,url
River Oaks Theatre,http://www.landmarktheatres.com/Market/Houston/Houston_Frameset.htm
mikemcguff.com blog,http://feeds.feedburner.com/mikemcguff
Houston Public Library Blog,https://www.facebook.com/houstonlibrary
My Gay Houston,https://www.facebook.com/MyGayHouston/
Winlow Place Civic Club,http://www.winlowplace.org/news?format=RSS
Rothko Chapel,https://www.facebook.com/146322542138889
"Russian Cultural Center ""Our Texas""",https://www.facebook.com/RCCOurTexas/
Houston Calling,http://houstoncalling.net/feed/
Lakeside Improvement Association,https://www.facebook.com/lakesidehouston
Ultimate Bellaire,https://www.facebook.com/chroncom
Ultimate Heights,https://www.facebook.com/chroncom
Houston City Council Member Mike Knox (At-Large Position 1) ,https://www.facebook.com/MikeKnox1Hou/
Idylwood Civic Club,https://www.facebook.com/idylwood/
Lone Star College-North Harris,https://www.facebook.com/NorthHarris?sid=08c4d379a339e2c16766f827b7367af8&ref=s
Timbergrove Manor Neighborhood Association,https://www.facebook.com/TimbergroveManorCivicClub/
Crime Stoppers of Houston,https://www.facebook.com/CrimeStoppersOfHouston/
GO Neighborhoods,https://www.facebook.com/GoNeighborhoodsNorthsideHouston/
Houston Business Journal,http://feeds.bizjournals.com/bizj_houston
Rice Village - Houston,http://www.ricevillageonline.com/
Smaller Scholars Montessori Academy,http://www.smallerscholars.com/wp-content/plugins/leaflet-maps-marker/leaflet-georss.php?layer=all
neoHOUSTON,http://feeds2.feedburner.com/neohouston
Midtown-Houston Live,https://www.facebook.com/MATCH.Houston
"AVANCE-Houston, Inc.",https://www.facebook.com/AVANCEHouston/
Magnolia Gardens Park,https://www.facebook.com/RioMagnolia
The Health Museum,https://www.facebook.com/17314716266
Westchase District,http://westchasedistrict.com/index.php/feed/
Space City Rock,http://www.spacecityrock.com/feed/
South Belt-Ellington Leader,http://www.southbeltleader.com/
Willow Meadows Civic Club,http://www.willowmeadows.org/index.php?format=feed&type=rss
Houston Moms Blog,http://feeds.feedburner.com/HoustonMomsBlog?format=xml
Swamplot,http://swamplot.com/feed/
Theatre Under The Stars,http://www.tuts.com/
West Lane Place Civic Association,http://www.wlpca.org/feed/
Houston Parks Board,https://www.facebook.com/HoustonParksBoard
City Council Member Ed Gonzalez (District H),https://www.facebook.com/edgonzalezhouston
Discovery Green ,https://www.facebook.com/DiscoveryGreenHouston
City Council Member Jerry Davis (District B),https://www.facebook.com/JerryDavisDistrictB
Houston Independent School District,http://blogs.houstonisd.org/news/feed/
Greater Fort Bend Economic Development Council ,https://www.facebook.com/FortBendCounty
City Council Member Larry Green (District K),https://www.facebook.com/HoustonCityCouncilDistrictK
Korean Festival Houston,http://www.koreanfestivalhouston.com/
Woodland Heights Civic Association,http://www.woodland-heights.org/
Midtown Houston,http://www.houstonmidtown.com/
Houston Community College,http://www.hccs.edu/
University of Houston,https://www.facebook.com/271199144875
Houston Press,http://www.houstonpress.com/syndication/issue/
The Heritage Society,https://www.facebook.com/50168975766
KHOU.com,http://www.khou.com/community/blogs/crime-watch/index.rss2
Houston Ballet,http://houstonballet.wordpress.com/feed/
IHRC: Independence Heights Redevelopment Council,http://www.independenceheights.org/
Houston Strategies,http://houstonstrategies.blogspot.com/feeds/posts/default?alt=rss
Cougars Den,https://www.facebook.com/HoustonRivals/
Miller Outdoor Theatre,https://www.facebook.com/milleroutdoor/
KHOU.com,http://www.khou.com/news/local/index.rss2
Mandell Place Civic Assocation,http://mandellplace.org/?feed=rss2
University of Houston,http://www.uh.edu/csi/
Rice Gallery,https://www.facebook.com/28462991593
KHOU.com,https://www.facebook.com/KHOU11
"The Jung Center of Houston, Texas",https://www.facebook.com/115026678046
South Union Community Development Corporation,https://www.facebook.com/251201618285015
Houston SPCA,http://www.houstonspca.org/site/PageServer?pagename=homepage_new
Houston Zoo Inc.,http://www.houstonzoo.org/
Montrose District,http://montrosedistrict.org/rss
Houstonia,http://feeds.feedburner.com/houstonia-real-estate
Houston Pet Talk,http://www.houstonpettalk.com/feed/
Russian Cultural Center “Our Texas”,http://ourtx.org/blog/feed/
Baylor College of Medicine Blog,http://momentumblog.bcm.edu/feed/
Orange Show Center For Visionary Arts,http://orangeshow.org/rss/
Houston Japan Festival,https://www.facebook.com/HoustonJapanFestival
University of Houston,https://www.facebook.com/271199144875
Houston First ,https://www.facebook.com/HoustonFirstCorporation
8th Wonder Brewery,https://www.facebook.com/190085201043010
Mexican Institute of Greater Houston,https://www.facebook.com/201679646576534
Chinese Community Center of Houston,http://ccchouston.org/
abc13.com,http://cdn.abclocal.go.com/ktrk/xml?id=7099174
CBS Houston,http://houston.cbslocal.com/category/sports/feed/
Buffalo Soldier National Museum,http://buffalosoldiermuseum.com/
Contemporary Arts Museum Houston,http://camh.org/
UH Community Design Resource Center,http://cdrchouston.org/
Change Happens!,http://www.changehappenstx.org/?feed=rss2
Homeless & Orphaned Pets Endeavor,http://www.homelesspets.net/
Houston Shakespeare Festival,http://www.houstonfestivalscompany.com/hsf/
Houston Chronicle,http://www.chron.com/rss/feed/News-270.php
Get Out Here Houston,http://www.getoutherehouston.org/feed
Metropolitan Transit Authority Blog,http://blogs.ridemetro.org/blogs/write_on/rss.aspx
Houston's Voice,http://houstonsvoice.com/feed/
City Council Member Mike Laster (District J),https://www.facebook.com/pages/Council-Member-Mike-Laster-District-J/113871925401121
Uptown Houston,https://www.facebook.com/UptownHoustonTX
SHAPE Community Center,https://www.facebook.com/pages/SHAPE-COMMUNITY-CENTER/122088423756
Downtown Houston,http://www.downtownhouston.org/news/articles/rss/
Australian American Chamber of Commerce-Houston,http://aacc-houston.org/feed/
Houston Public Library Blog,https://www.facebook.com/houstonlibrary
Houston's Fifth Ward Community Redevelopment Corporation,https://www.facebook.com/132267803450435
The Association for the Advancement of Mexican Americans,http://www.aama.org/rss/
Jewish Community Center of Houston,http://www.erjcchouston.org/newsfeed/rss/blog-rss-feed/
Asia Society Texas Center,http://asiasociety.org/texas
Houston Press,http://blogs.houstonpress.com/hairballs/rss.xml
Houston Press,http://blogs.houstonpress.com/rocks/rss.xml
DiverseWorks Artspace,http://www.diverseworks.org/
"The French-American Chamber of Commerce, Houston",http://www.facchouston.com/
Memorial Hermann Memorial City Medical Center,http://www.memorialhermann.org/locations/memorial-city/
Bay Area Houston Magazine,https://www.facebook.com/BayAreaHoustonMagazine
Larchmont,http://www.larchmonthouston.com/feed/
Brazilian Arts Foundation,http://brazilianarts.org/feed/
Idylwood Civic Club,http://www.idylwood.org/feed/
Midtown Houston,http://www.houstonmidtown.com/feed/
"Braeswood Park Owners Association, Inc.",http://braeswoodpark.org/feed/
Houston Arboretum and Nature Center,http://www.houstonarboretum.org/feed
Houston Chronicle,http://www.chron.com/rss/feed/Memorial-312.php
Meyerland Community Improvement Association,http://www.meyerland.net/en/tx/index.php?format=feed&type=rss
"Houston City Council Member C.O.""Brad"" Bradford (At-Large Position 4)",https://www.facebook.com/pages/Houston-City-Council-Member-COBrad-Bradford/105388849517711
Houston Public Library Facebook Page,https://www.facebook.com/houstonlibrary
Downtown Aquarium - Houston,https://www.facebook.com/84164007239
Chron,https://www.facebook.com/chroncom
Menil Collection,http://www.menil.org/
