name,url
Committee on Rules,http://legislation.phila.gov/calendar/
Phila.gov,http://ework.phila.gov/
Public Works,http://legislation.phila.gov/calendar/
Streets and Services,http://legislation.phila.gov/calendar/
Midtown Lunch,http://feeds.feedburner.com/midtownlunch/Philadelphia
Mission First Housing Group,http://missionfirsthousing.org/feed/
Boys & Girls Clubs of Philadelphia,http://www.bgcphila.org/
FBI,https://www.facebook.com/FBI
FBI,https://www.facebook.com/FBI
CE Phood,http://cephood.blogspot.com/feeds/posts/default?alt=rss
West Philadelphia Coalition of Neighborhoods and Businesses,http://wpcnb.org/
SEAMAAC,https://www.facebook.com/SEAMAAC/
Williamson College of the Trades,https://www.facebook.com/WilliamsonTrades
Government of Philadelphia,https://www.facebook.com/cityofphiladelphia
Public Works,https://www.facebook.com/PHLCouncil/
RelÃche Ensemble,https://relache.org/feed/
FBI,https://www.facebook.com/FBI
The Philadelphia Public School Notebook,http://thenotebook.org/articles?feed=rss
Fishtown Neighbors Association,http://fishtown.org/feed/
FBI,https://www.facebook.com/FBI
FBI,https://www.facebook.com/FBI
Councilwoman Blondell Reynolds Brown,http://phlcouncil.com/feed/
Anti-Defamation League,http://philadelphia.adl.org/feed/
Philly.com,http://www.philly.com/philly_news.rss
Philadelphia Theatre Company,http://philadelphiatheatrecompany.org/feed/
Canary Promotion,http://www.canarypromo.com/feeds/birdfeed
The Chestnut Hill Community Association,http://www.chestnuthill.org/feed/
Penn Museum,http://www.penn.museum/events-calendar/eventlist.feed?type=rss
Unity In The Community,https://www.facebook.com/UnityInTheCommunity215
Philadelight,http://philadelight.com/feed/
Philadelphia Film Society,http://filmadelphia.org/
City of Philadelphia,http://philarecovery.wordpress.com/feed/
GreenTreks Network,https://www.facebook.com/GreenTreks
Philadelphia Legal Assistance,https://www.facebook.com/PhiladelphiaLegalAssistance
"Philadelphia Academies, Inc.",http://www.academiesinc.org/
Committee of Seventy,https://www.facebook.com/pages/Committee-of-Seventy/57843647345
Wynnefield Branch (Free Library of Philadelphia),https://www.facebook.com/wynnefieldbranch/timeline
NBC 10 Entertainment News,http://www.nbcphiladelphia.com/entertainment/entertainment-news/?rss=y&embedThumb=y&summary=y
COMHAR,http://comhar.org/news/rss.xml
PHLCVB,https://www.facebook.com/60364167807
Friends of Fox Chase Farm,http://www.foxchasefarm.org/
Spring Garden Civic Association,http://www.sgcaphilly.com/
Philadelphia Public Art @philart.net,http://philart.net/rss.xml
uwishunu ,http://www.uwishunu.com/feed/
Philadelphia Police Department,http://blog.phillypolice.com/tag/special-victims/feed/
PlanPhilly,http://planphilly.com/events?feed=rss
Strawberry Mansion Community Development Corporation,http://www.strawberrymansioncdc.org/feed/
University of Pennsylvania,http://www.upenn.edu/pennnews/current/rss/topstories.xml
NBC 10 The Scene,http://www.nbcphiladelphia.com/entertainment/the-scene/?rss=y
Philly On The Cheap,http://feeds.feedblitz.com/phillylivingonthecheap
West Mt. Airy Neighbors,http://www.wman.net/feed/
Philadelphia FIGHT,http://fight.org/feed/
Benjamin's Desk,http://benjaminsdesk.com/feed/
Zagat Philadelphia,http://feeds.feedburner.com/zagat/philadelphia
Philadelphia Police Department,https://blog.phillypolice.com/category/inside-the-ppd/feed
Broad Street Review,http://www.broadstreetreview.com/rss
Lyric Fest,http://lyricfest.org/feed/
The Philadelphia Sketch Club,http://sketchclub.org/feed/
American Heart Association,https://www.facebook.com/americanheart
Pizza Quixote,http://mainlinepizzaquest.blogspot.com/feeds/posts/default?%E2%89%A0rss
West Philly Local,http://www.westphillylocal.com/feed/
Callowhill Neighborhood Association,https://www.facebook.com/Callowhill-Neighborhood-Association-315002302205793/
Friends of the Wissahickon,http://www.fow.org/rss
Russell Byers Charter School,http://byerschool.org/
Scenic Philadelphia,http://scenicphiladelphia.org/?feed=rss2
Billy Penn,http://billypenn.com/feed/
Phawker,http://www.phawker.com/feed/
