name,url
Madison Park Blogger,http://madisonparkblogger.blogspot.com/feeds/posts/default?alt=rss
Bike Works,https://bikeworks.org/feed/
Ballard News-Tribune,http://www.ballardnewstribune.com/feeds/31
Miller Park Neighborhood Association,http://millerparkseattle.blogspot.com/feeds/posts/default
Mid Beacon Hill Blog,http://midbeaconhill.blogspot.com/feeds/posts/default?alt=rss
Seattle Greenlaker,http://www.seattlegreenlaker.com/category/people/feed/
4Culture,http://www.4culture.org/feed/
Seattle.gov,http://www.seattle.gov/news/
Town Hall Seattle,https://townhallseattle.org/feed/
Puget Sound Business Journal,http://feeds.bizjournals.com/bizj_seattle
Ballard News-Tribune,http://feeds.feedburner.com/ballardnewstribune
Monkey Around Seattle,http://monkeyaroundseattle.blogspot.com/feeds/posts/default?alt=rss
Cosmo Seattle,http://feeds.feedburner.com/CosmoSeattle
Seattle Metblogs,http://feeds.feedburner.com/MetrobloggingSeattle
The Seattle Medium,http://seattlemedium.com/category/news/feed/
Seattle Animal Shelter Foundation,http://www.seattleanimalshelterfoundation.org/feed/
Official High Point Neighborhood,http://www.highpointneighborhood.org/?feed=rss2
Association of King County Historical Organizations,http://www.akcho.org/feed/
Central District News,http://centraldistrictnews.com/feed/
Aging and Disability Services,http://www.agingkingcounty.org/feed/
Allied Arts of Seattle,http://alliedartsofseattle.org/feed/
Seattle Bloggers,http://seattlebloggers.com/feed/
CBS Seattle,http://seattle.cbslocal.com/feed/
The Wedgwood Blog,http://wedgwoodblog.spaces.live.com/feed.rss
The Seattle Medium,http://seattlemedium.com/category/opinion_editorials/feed/
Puget Sound Business Journal,http://feeds.bizjournals.com/seattle_blog_biztalk
Seattle Post-Intelligencer,http://seattlepi.nwsource.com/rss/business_2.rss
Ballard District Council,http://ballarddistrict.org/wp/feed/
Magnolia Historical Society,https://www.facebook.com/Magnolia-Historical-Society-383713081739637/
My Ballard,http://www.myballard.com/feed/
Discover North Seattle,http://aboden.activerain.com/rss
Seattle Neighborhood Coalition,https://seattleneighborhoodcoalition.wordpress.com/feed/
Roosiehood,http://feeds.feedburner.com/roosiehood
Seattle Bubble,http://feeds.feedburner.com/SeattleBubble
The Roosevelt Neighborhood Association,http://rooseveltseattle.org/feed/
ballardite blog,http://ballardite.blogspot.com/feeds/posts/default?alt=rss
Beach Drive Blog,http://feeds.feedburner.com/typepad/beach_drive_blog
Seattle Neighborhood Greenways,http://seattlegreenways.org/feed/
The Seattle Medium,http://seattlemedium.com/feed/
PhinneyWood,http://feeds.feedburner.com/phinneywood
Downtown Seattle Association,https://www.downtownseattle.com/feed/
Capitol Hill Seattle Blog,http://www.capitolhillseattle.com/feed/
The Seattle Times,http://seattletimes.nwsource.com/rss/localnews.xml
Seattle Pride,http://seattlepride.org/feed/
Visit Seattle,http://www.visitseattle.org/feed/
SeattleMet,https://www.seattlemet.com/content/feed
Seattle Post-Intelligencer,http://blog.seattlepi.nwsource.com/seattle911/index.xml
Seattle Post-Intelligencer,http://seattlepi.nwsource.com/rss/ae_2.rss
Seattle Post-Intelligencer,http://seattlepi.nwsource.com/rss/local_2.rss
SeattleMet,https://www.seattlemet.com/eat-and-drink/feed.atom
The SunBreak,http://feeds.feedburner.com/RecentStories-TheSunbreakMostRecentStories
The Seattle Times,http://seattletimes.nwsource.com/rss/seattletimes.xml
Seattle Post-Intelligencer,http://blog.seattlepi.nwsource.com/ballard/index.xml
Seattle Post-Intelligencer,http://blog.seattlepi.nwsource.com/capitolhill/index.xml
Alex Garcia in Seattle,http://alexgarciainseattle.blogspot.com/feeds/posts/default?alt=rss
West Seattle Herald,https://www.westsideseattle.com/taxonomy/term/6/feed
Seattle Post-Intelligencer,http://blog.seattlepi.nwsource.com/beaconlights/index.xml
Seattle Post-Intelligencer,http://blog.seattlepi.nwsource.com/buschick/index.xml
Seattle Post-Intelligencer,http://blog.seattlepi.nwsource.com/thebelltownblocks/index.xml
Sustainable Seattle,http://www.sustainableseattle.org/feed/
Historic Seattle,https://historicseattle.org/feed/
Fremont Arts Council,http://fremontartscouncil.org/feed/
Ginger's Pet Rescue,https://www.gingerspetrescue.org/feed/
Curbed Seattle,http://seattle.curbed.com/rss/index.xml
hillku,http://hillku.blogspot.com/feeds/posts/default?alt=rss
The Seattle Medium,http://seattlemedium.com/category/sports/feed/
Derivative Works,http://www.derivativeworks.com/seattle-wa-feed.xml
SPDBlotter,http://spdblotter.seattle.gov/category/police-precincts/north-precinct/feed/
SPDBlotter,http://spdblotter.seattle.gov/category/police-precincts/east-precinct/feed/
West Seattle Blog,http://westseattleblog.com/feed/
Magnolia is Really Part of Seattle,http://sleeplessinmagnolia.ning.com/profiles/blog/feed?xn_auth=no
SPDBlotter,http://spdblotter.seattle.gov/category/police-precincts/south-precinct/feed/
SPDBlotter,http://spdblotter.seattle.gov/category/police-precincts/sw-precinct/feed/
SPDBlotter,http://spdblotter.seattle.gov/category/police-precincts/west-precinct/feed/
SPDBlotter,http://spdblotter.seattle.gov/feed/
The Seattle Medium,http://seattlemedium.com/category/entertainment/feed/
The Seattle Medium,http://seattlemedium.com/category/lifestyle/feed/
Seattle Magazine,https://www.facebook.com/seattlemagazine
The Seattle Times,https://www.seattletimes.com/feed/
Seattle Gay Scene,http://feeds.feedburner.com/GaySeattleBlogspot
Seattle PostGlobe,http://feeds2.feedburner.com/SeattlePostglobe
CultureMob,http://culturemob.com/seattle/events.rss
SeattleCrime.com,http://www.seattlecrime.com/rss/2.0/instantjournalist/features/discussionListFeatured.xml
